id,name,slug,url,summary,os,cpu,storage,memory,graphics,sound,online,media,connectivity,resolutions,output,companies,main_manufacturer,platform_logo,platform_version_release_dates,checksum
663,Opera GX,opera-gx,https://www.igdb.com/platforms/browser/version/opera-gx,"Opera GX is a gaming-oriented variant of Opera. The browser was announced and released in early access for Windows on 11 June 2019, during E3 2019. The macOS version was released in December of the same year.

Opera GX adds features geared toward gamers on top of the regular Opera browser. The browser allows users to limit network, CPU, and memory usage to preserve system resources, with GX Cleaner, a tool that allows users to clear cache, cookies, and other unwanted files. It also adds integrations with other apps such as Twitch, Discord, Twitter, and Instagram. The browser also has a built-in page called the GX Corner, which collates gaming-related releases, deals, and news articles.",,,,,,,,,,,,,,825,{760},9eba1d88-5e63-a5d0-b595-3e14c6423b34
117,SwanCrystal,swancrystal,https://www.igdb.com/platforms/wonderswan/version/swancrystal,,,,,,,,,,,,,,,263,{140},0b103ab5-0046-841f-68ad-a798e4702bfe
703,Sega Neptune,sega-neptune,https://www.igdb.com/platforms/sega32/version/sega-neptune,The Sega Neptune is a cancelled version of the Sega Genesis/Mega Drive integrated with the 32X technology.,,,,,,,,,,,,{920},,,,22cc62de-2bf9-cf82-6543-b95ebfc9c5b3
353,Initial version,initial-version,https://www.igdb.com/platforms/exidy-sorcerer/version/initial-version,The Sorcerer is a home computer system released in 1978 by the video game company Exidy.,,Zilog Z80 @ 2.106 MHz (later 4 MHz),,,,,,,,,,{529},,,{543},70ffa499-a654-cdfc-ab56-082c0ad4e777
212,Saba Videoplay,saba-videoplay,https://www.igdb.com/platforms/fairchild-channel-f/version/saba-videoplay,"Saba Videoplay was the licensed Channel F-Version for the German market. It was released in late 1977 and was positively received by the press and the general public. However, the initial retail price of over 500 DM meant that the Videoplay would be available only to higher-income households. Yet, the system sold reasonably well, offering a library of 18 games by the end of 1978. But as competition started to grow larger, the inferiority of the Fairchild-hardware became more and more obvious. By 1980 Saba dropped the hardware, which was now owned by Zircon, who licenced it to other German competitors, namely ITT and Nordmende.",,,,,,,,,,,,,,317,{246},59bf0530-8769-2e65-9e81-776385cabcdc
139,Super Famicom (SHVC-001),super-famicom-shvc-001,https://www.igdb.com/platforms/snes/version/super-famicom-shvc-001,Original Japanese version (SHVC-001),,Ricoh 5A22 @ 3.58 MHz,,128 KB,,"Nintendo S-SMP 8 channels, stereo, 64 KB","Satellaview (satellite radio), XBAND,",ROM cartridge,,256x224 to 512x448,"composite video, S-Video and RGB",{144},,105,{204},92685f5e-99f5-2ab3-2167-c07c272ff263
153,Initial version,initial-version,https://www.igdb.com/platforms/apple-iigs/version/initial-version,,,,,,,,,,,,,,,295,,9bf063a4-e282-8c7b-d62c-ccc79185a8cf
164,Initial version,initial-version,https://www.igdb.com/platforms/trs-80/version/initial-version,,,,,,,,,,,,,,,372,,93cf119c-a0d5-5de9-fcaa-4692e0bd605c
222,Initial version,initial-version,https://www.igdb.com/platforms/nec-pc-6000-series/version/initial-version,,,,,,,,,,,,,,,370,,a4ae254e-b95b-ec66-9c68-a55026361c04
720,Initial version,initial-version,https://www.igdb.com/platforms/uzebox/version/initial-version,"The Uzebox is a retro-minimalist 8-bit open source game console. It is based on an AVR 8-bit general purpose microcontroller made by Atmel. The particularity of the system is that it uses an interrupt driven kernel and has no frame buffer. Functions such as video signal generation, tile rendering and music mixing is done in realtime by a background task so your game can easily be developed in C. The design goal was to be as simple as possible yet have good enough sound and graphics to implement interesting games. Emphasis was put on making it easy and fun to assemble and program for any hobbyists. The final design contains only two chips: an ATmega644 and an AD725 RGB-to-NTSC converter.",,ATmega644 microcontroller,64K,4K,,"5 channels wavetable synthesis , 8-bit mono, mixed at ~15Khz and output via PWM",,SD/MicroSD Card,MIDI-in,,NTSC Composite and S-VIDEO,,,891,{903},5f29fbfa-643d-4c64-c0b9-fd37db05ea49
3,Xbox 360 Arcade,xbox-360-arcade,https://www.igdb.com/platforms/xbox360/version/xbox-360-arcade,,,,,,,,,,,,,,,250,{2},8b9f5a93-4afe-405c-3046-bc3fb538f82d
12,KitKat,kitkat,https://www.igdb.com/platforms/android/version/kitkat,Versions 4.4 – 4.4.4,,,,,,,,,,,,{196},,63,{102},104f941f-d949-35bc-3422-2e11a36b4853
282,Switch Lite,switch-lite,https://www.igdb.com/platforms/switch/version/switch-lite,"A smaller version of the Switch, which only supports handheld play. The Joy-Cons are integrated into the main unit, and the four directional buttons are replaced by a more classic D-Pad",,,,,,,,,,,,{868},,534,"{359,797}",66b44ed8-45fd-7bea-d3be-fe62b2ce38bb
283,Wii mini,wii-mini,https://www.igdb.com/platforms/wii/version/wii-mini,"A smaller version of the Wii with a top-loading disc drive. This version lacks online connectivity, as well as GameCube compatibility and an SD card slot.",Wii System Software,IBM PowerPC ''Broadway'' @ 729 MHz,512 MB NAND Flash memory,80 MB,ATI ''Hollywood'' @ 243 MHz,"Stereo, Dolby Surround",,Nintendo Wii optical disc,,"480p, 480i, 576i",composite,{368},,326,"{360,361,362}",f5adf622-be04-e3ef-278e-bee6e383a1b1
93,Initial version,initial-version,https://www.igdb.com/platforms/donner30/version/initial-version,,,,,,,,,,,,,,,,,a924bdad-34d0-d4fb-1fc6-af9fdb9723c8
103,Initial version,initial-version,https://www.igdb.com/platforms/cpet/version/initial-version,"The Commodore PET is a line of home/personal computers produced starting in 1977 by Commodore International. The system combined a MOS 6502 microprocessor, Commodore BASIC in read only memory (ROM), a keyboard, a computer monitor and (in early models) a cassette deck for data and program storage in a single all-in-one case.",Commodore BASIC 1.0 ~ 4.0,MOS Technology 6502 @ 1 MHz,"cassette tape, 5.25-inch floppy, 8-inch floppy, hard disk",4–96 KB,monochrome character graphics,none or beeper,,,,,,{533},,543,{552},df0a5020-309d-04c9-5368-b2b9244bb6b4
195,Initial version,initial-version,https://www.igdb.com/platforms/new-nintendo-3ds/version/initial-version,,,,,,,,,,,,,,,235,"{260,261,820,821,822,823}",0fc3c7c8-40e5-0ba9-71d9-1e4f9c0672fb
11,Jelly Bean 4.1.x-4.3.x,jelly-bean-4-1-x-4-3-x,https://www.igdb.com/platforms/android/version/jelly-bean-4-1-x-4-3-x,,,,,,,,,,,,,{56},,59,{107},814f22a7-13bd-25d2-a369-2d0b8adedfd3
29,Initial version,initial-version-2d30967a-4545-4ff8-b4bb-e82e5038fe16,https://www.igdb.com/platforms/lynx/version/initial-version-2d30967a-4545-4ff8-b4bb-e82e5038fe16,,,MOS 65SC02 @ 4 MHz,"Cartridge 128 KB, 256 KB, 512 KB",64 KB DRAM,,8-bit 4-channel mono,Comlynx (18-player networking),ROM cartridges,,"160×102 standard resolution (16,320 addressable pixels)",,"{37,84}",,42,{142},4490e81f-eca5-3d8a-55d1-a167cd213cdf
13,Windows XP,windows-xp,https://www.igdb.com/platforms/win/version/windows-xp,"Windows XP, the successor to Windows 2000 and Windows ME, was the first consumer-oriented operating system produced by Microsoft to be built on the Windows NT kernel. Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006",,,,,,,,,,,,"{244,245}",,205,{257},f0e55e18-37e3-94fd-c726-21fcec33cb34
