id,name,slug,url,created_at,updated_at,summary,category,platform_family,alternative_name,generation,versions,abbreviation,platform_logo,websites,checksum
62,Atari Jaguar,jaguar,https://www.igdb.com/platforms/jaguar,2013-06-26 18:16:31,2024-06-10 13:48:09,,1,,,5,{28},Jaguar,286,,70557c0a-1cac-d093-d287-67d8e5a201b0
477,Panasonic Jungle,panasonic-jungle,https://www.igdb.com/platforms/panasonic-jungle,2024-03-21 16:22:17,2024-06-10 13:48:09,,5,,,8,{694},,853,{378},ca866b1b-b074-cdec-2cf1-b79957647df3
504,Uzebox,uzebox,https://www.igdb.com/platforms/uzebox,2024-07-19 19:31:09,2024-08-02 03:12:22,,1,,EUzebox,,"{720,721}",,891,{403},6f7f06cb-3853-80ad-191a-dc6b1015f967
148,AY-3-8607,ay-3-8607,https://www.igdb.com/platforms/ay-3-8607,2017-09-19 13:56:57,2024-06-10 13:48:09,,1,,,,{211},,,,b148a659-dc31-1245-8623-321ce9008d75
65,Atari 8-bit,atari8bit,https://www.igdb.com/platforms/atari8bit,2013-06-29 10:05:48,2024-06-10 13:48:09,,6,,,,"{27,104}",Atari8bit,373,,37adef88-b15f-3963-a417-687e5e0a6260
128,PC Engine SuperGrafx,supergrafx,https://www.igdb.com/platforms/supergrafx,2016-03-08 13:47:29,2024-06-10 13:48:09,,1,,SuperGrafx,4,{166},supergrafx,364,{274},18e4df69-a46a-9ff2-c84a-ce29e88ac5c3
89,Microvision,microvision--1,https://www.igdb.com/platforms/microvision--1,2014-08-09 20:28:24,2024-06-10 13:48:09,,5,,,2,{102},microvision,314,,0d3ccf60-cdd5-5609-4f6b-fc6522e86a18
8,PlayStation 2,ps2,https://www.igdb.com/platforms/ps2,2011-02-13 23:21:28,2024-06-10 13:48:09,,1,1,PS2,6,"{58,114}",PS2,254,,be3e025c-d4ed-b795-443c-a8cb55fbfe17
6,PC (Microsoft Windows),win,https://www.igdb.com/platforms/win,2011-02-13 23:21:28,2024-06-10 13:48:09,,4,,mswin,,"{1,13,14,15,124,513,529,530,531,532,533,534}",PC,670,{2},882ca6f3-57ac-cd51-6c68-7a1e030c36ab
23,Dreamcast,dc,https://www.igdb.com/platforms/dc,2011-03-15 11:20:04,2024-06-10 13:48:09,,1,3,DC,6,{16},DC,270,{276},12e469e8-139b-53e8-d69c-772aaca8d87a
35,Sega Game Gear,gamegear,https://www.igdb.com/platforms/gamegear,2011-04-27 19:50:31,2024-06-10 13:48:09,,5,3,GG,4,{62},Game Gear,287,,54cd82ec-c45b-f5d7-baae-97b94344e716
44,Tapwave Zodiac,zod,https://www.igdb.com/platforms/zod,2011-10-04 17:19:54,2024-06-10 13:48:09,,5,,,,{69},zod,46,,7916e6bf-353a-6f27-a8de-a429204d17d9
88,Odyssey,odyssey--1,https://www.igdb.com/platforms/odyssey--1,2014-08-09 20:26:18,2024-06-10 13:48:09,,1,,Magnavox Odyssey; Odysee; Odisea; Odissea,1,"{101,167,168,169,170,171}",odyssey,,{211},26859452-7553-fa16-0833-3a62209ac679
94,Commodore Plus/4,c-plus-4,https://www.igdb.com/platforms/c-plus-4,2014-10-25 16:59:32,2024-06-10 13:48:09,,6,,,,{108},C+4,310,,ea138789-6bbe-bcca-dff5-7e20e762f65a
123,WonderSwan Color,wonderswan-color,https://www.igdb.com/platforms/wonderswan-color,2015-09-05 20:53:51,2024-06-10 13:48:09,,5,,WSC,5,{161},,261,,748af3e0-64cd-acfa-104b-eb1fe5c9ad42
134,Acorn Electron,acorn-electron,https://www.igdb.com/platforms/acorn-electron,2016-11-18 10:14:28,2024-06-10 13:48:09,,6,,,,{184},,301,,ec7fd022-fcf9-8bf8-a73b-09080d9d3515
129,Texas Instruments TI-99,ti-99,https://www.igdb.com/platforms/ti-99,2016-03-30 14:35:22,2024-06-10 13:48:09,,6,,Texas Instruments TI-99/4A,,"{172,427}",ti-99,540,{218},b941f047-24e3-0297-b162-ea548b94b6f9
133,Odyssey 2 / Videopac G7000,odyssey-2-slash-videopac-g7000,https://www.igdb.com/platforms/odyssey-2-slash-videopac-g7000,2016-10-24 10:27:15,2024-06-10 13:48:09,,6,,Magnavox Odyssey²,,{183},,112,,e559181e-7edc-3d18-707e-c534dfbf01eb
135,Hyper Neo Geo 64,hyper-neo-geo-64,https://www.igdb.com/platforms/hyper-neo-geo-64,2017-04-13 22:05:16,2024-06-10 13:48:09,,2,,,,{186},,117,,fedca8ca-3a51-84db-1d6a-36a2536d3fe0
136,Neo Geo CD,neo-geo-cd,https://www.igdb.com/platforms/neo-geo-cd,2017-04-13 22:05:52,2024-06-10 13:48:09,,1,,NGCD,4,{187},,281,,d2e84b49-6a66-6df9-cecf-e85abba7d90e
142,PC-50X Family,pc-50x-family,https://www.igdb.com/platforms/pc-50x-family,2017-09-16 21:30:44,2024-06-10 13:48:09,,1,,,1,"{200,205}",,132,,bf68d34d-92d5-53be-0fc9-2493532a29a4
144,AY-3-8710,ay-3-8710,https://www.igdb.com/platforms/ay-3-8710,2017-09-19 13:56:07,2024-06-10 13:48:09,,1,,,,{207},,,,5438ffcf-1f05-47e9-e082-15bafd1dc92f
146,AY-3-8605,ay-3-8605,https://www.igdb.com/platforms/ay-3-8605,2017-09-19 13:56:35,2024-06-10 13:48:09,,1,,,,{209},,,,3c9b3a84-dc54-3c94-0ee0-5cb97809d2a5
147,AY-3-8606,ay-3-8606,https://www.igdb.com/platforms/ay-3-8606,2017-09-19 13:56:46,2024-06-10 13:48:09,,1,,,,{210},,,,49428df3-7b02-316e-2390-95a230795394
149,PC-9800 Series,pc-9800-series,https://www.igdb.com/platforms/pc-9800-series,2017-10-26 09:31:47,2024-06-10 13:48:09,,6,,PC-98,,{214},,366,{371},59b1f9b8-2dd7-2d98-9d97-d2182d6c30cd
150,Turbografx-16/PC Engine CD,turbografx-16-slash-pc-engine-cd,https://www.igdb.com/platforms/turbografx-16-slash-pc-engine-cd,2017-10-26 09:33:17,2024-06-10 13:48:09,,6,,TG-16CD/PCECD,,{215},,291,,0ebd9409-3139-db67-2b02-317f9f3b6913
505,Elektor TV Games Computer,elektor-tv-games-computer,https://www.igdb.com/platforms/elektor-tv-games-computer,2024-08-29 20:22:17,2024-08-29 20:22:29,,6,,TVGC,,{723},,,{404},79b53a4d-abdb-7ac9-7192-0527213be640
156,Thomson MO5,thomson-mo5,https://www.igdb.com/platforms/thomson-mo5,2017-11-07 10:39:17,2024-06-10 13:48:09,,6,,,,{221},,537,{24},5f4cdd4c-4bc0-2a7d-9842-5d1c5350ab4f
158,Commodore CDTV,commodore-cdtv,https://www.igdb.com/platforms/commodore-cdtv,2017-11-07 10:41:04,2024-06-10 13:48:09,,6,,Commodore Dynamic Total Vision,,{223},,292,{26},5d48648e-283c-e2df-df7d-6d3cbc7e0a58
163,SteamVR,steam-vr,https://www.igdb.com/platforms/steam-vr,2018-02-15 14:26:44,2019-07-01 14:23:05,,,,,,{233},Steam VR,159,{30},e2c8f5f7-2c50-5d2d-b9b9-1135281d38f4
237,Sol-20,sol-20,https://www.igdb.com/platforms/sol-20,2019-11-15 10:22:57,2024-06-10 13:48:09,,6,,,,{354},,,{219},c608e02f-1a92-d010-b161-4a368220bdfe
13,DOS,dos,https://www.igdb.com/platforms/dos,2011-02-14 08:30:23,2024-06-10 13:48:09,,4,,PC DOS,,"{56,540}",DOS,38,,9aabba9b-eb06-5274-26e1-250114855890
24,Game Boy Advance,gba,https://www.igdb.com/platforms/gba,2011-03-15 15:03:46,2024-06-10 13:48:09,,5,5,GBA,6,"{40,193,194}",GBA,256,,f9f58c45-16c0-f760-1556-ce3fe6cd93be
30,Sega 32X,sega32,https://www.igdb.com/platforms/sega32,2011-03-24 09:45:05,2024-06-10 13:48:09,,1,3,,4,"{61,703}",Sega32,279,,71e35e2d-dd35-dc89-1c54-b8286b4b7050
85,Donner Model 30,donner30,https://www.igdb.com/platforms/donner30,2014-05-10 21:59:31,2024-06-10 13:48:09,,6,,,,{93},donner30,,,c11154b6-9734-c8fa-a9d3-9b56ffb1e4d9
119,Neo Geo Pocket,neo-geo-pocket,https://www.igdb.com/platforms/neo-geo-pocket,2015-09-03 08:33:39,2024-06-10 13:48:09,,5,,NGP,5,{157},,390,,c0ff62cb-db50-1c63-765f-b470e0393069
41,Wii U,wiiu,https://www.igdb.com/platforms/wiiu,2011-10-04 14:38:22,2024-06-10 13:48:09,,1,5,Project Cafe,8,{73},WiiU,239,{10},f89734ee-569c-b25c-0ae0-6eb11b2224dd
