id,name,slug,url,created_at,updated_at,summary,storyline,collection,franchise,franchises,hypes,follows,rating,aggregated_rating,aggregated_rating_count,total_rating,total_rating_count,rating_count,parent_game,version_parent,version_title,similar_games,tags,game_engines,category,player_perspectives,game_modes,keywords,themes,genres,expansions,dlcs,bundles,standalone_expansions,first_release_date,status,platforms,release_dates,alternative_names,screenshots,videos,cover,websites,external_games,multiplayer_modes,involved_companies,age_ratings,artworks,checksum,remakes,remasters,expanded_games,ports,forks,language_supports,game_localizations,collections
232060,3D Icon Quiz,3d-icon-quiz,https://www.igdb.com/games/3d-icon-quiz,2023-01-19 09:10:44,2023-05-07 02:21:56,Let's play 3D Icon Quiz. More than 300 common icons/pictograms in the world!,,,,,,,,,,,,,,,,"{15827,25905,68458,78489,87150,87170,87728,90788,90965,103018}",{268435489},,0,,{1},,,{33},,,,,2022-08-02 00:00:00,,{39},{473399},,"{961488,961489,961490,961491,961492}",,,"{519194,519195}","{2648851,2651602}",,,,,1ec2a645-b102-3bfe-ff1d-81b3e817933d,,,,,,,,
100621,3D Illusion Maze Path Puzzle,3d-illusion-maze-path-puzzle,https://www.igdb.com/games/3d-illusion-maze-path-puzzle,2018-05-05 08:58:27,2023-05-29 23:03:30,"An puzzle game which challenges your ability to think in multiple dimensions.

You must slide 3D cubes to their destination over cubes, triangles, and other figures.

The first couple of levels are easy, but the 3D path becomes more complex while you play.

Can you move through all the mathematically inspired impossible objects before the time runs out?",,,,,,,,,,,,,,,,,,,0,,{1},,,,,,,,2016-05-30 00:00:00,8,{39},{479491},,{1045651},,,{411847},"{653712,1954497}",,,,,f03b758c-f736-b030-3964-116e331e01e6,,,,,,"{701128,701129}",,
108136,3D Infinity,3d-infinity,https://www.igdb.com/games/3d-infinity,2018-09-05 05:42:41,2022-12-13 21:50:44,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,{62680},,,,{385132},"{1456165,1910535}",,,,,eedcf2b1-8971-6855-b3b5-78f81043a7c7,,,,,,,,
57942,3D Interceptor,3d-interceptor,https://www.igdb.com/games/3d-interceptor,2017-09-06 12:57:46,2022-12-13 21:14:38,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,35329,{380266},"{106203,1905496}",,,,,614615be-9b09-cace-de14-1a18cfb33ab3,,,,,,,,
13277,3D Invaders,3d-invaders,https://www.igdb.com/games/3d-invaders,2015-10-11 16:51:17,2022-12-14 01:24:02,,,,,,,,,,,,,,,,,"{58095,78770,95340,103292,311392,312252,312258,312267,312273,313589}",{268435461},,0,,,,,{5},,,,,,,{25},{38473},,,,,{416359},"{17238,1959222}",,,,,136e6da3-4df1-7c18-19fc-6c810db15fa1,,,,,,,,
205073,3D Joys,3d-joys,https://www.igdb.com/games/3d-joys,2022-06-16 02:26:06,2024-09-10 22:43:45,3D Joys is a collection of VR games that will use a 3D Joystick.,,,,,,,,,,,,,,,,"{19404,31515,33603,33646,36269,55590,65827,111043,115539,116674}","{268435471,268435488}",,0,"{6,7}",{1},"{2385,4510,19205,30952}",,"{2,7,9,15,32,33}",,,,,2022-06-25 00:00:00,4,"{163,384}","{641091,641092}",,"{813585,813587,813589,813591,813593}",{86586},249286,"{290508,290509,494333,539026}","{2449674,2449705,2938586}",,,{185944},{78756},62fd3bf7-62b5-f29e-bd5b-6ce72f4abb44,,,,,,{284596},,
143644,3D Kaleidoscope: Baby Universe,3d-kaleidoscope-baby-universe,https://www.igdb.com/games/3d-kaleidoscope-baby-universe,2021-02-18 16:31:46,2023-06-09 07:24:12,"Baby Universe is an experiment in visuals. It consists of different worlds with digital kaleidoscopes. One of them, a 3D Kaleidoscope, is floating in space. You create visual effects by pressing buttons on the controller, to turn the different axes, bend and reflect light, and change the angle, with different background patterns. All your actions can be recorded and saved.

In the jewel case, you select the objects to appear on the screen, and in the console, you can edit each individual item. This includes colour mapping of the surface, movement patterns and frame rate. Settings can be saved on a memory card. In the soundscape, you can insert your own CDs, and sound wave patterns will appear to accompany the music. There is also a traditional (electric) and a psychedelic kaleidoscope available.",,,,,,,,,,,,,,,,"{17613,24620,32688,36346,65827,86847,87485,101573,105264,112754}","{268435463,268435469,536894036}",,0,{1},{1},{23124},,"{7,13}",,,,,1997-06-20 00:00:00,,{7},"{244546,244547}","{61941,61942,61943,61944}","{446602,446603,446604,446605,446606,446607}",{49349},140411,{452297},"{1998344,1998345}",,"{132991,132992}",,,7fdedfbd-3146-e1f4-5c84-79d3b287afad,,,,,,,{14067},
265428,3D Knife,3d-knife,https://www.igdb.com/games/3d-knife,2023-09-07 02:22:00,2023-09-11 20:40:37,"""3D Knife"" is a 3D arcade to test your reflex and patience. It is mini, beautiful and addictive.Lots of knives can be unlocked. Easy to learn: shoot knife to the wood planet while don't hit other knives. Hard to master: you should take the right chance!",,,,,,,,,,,,,,,,"{18115,19222,25905,41349,85804,87170,87507,90788,90965,95776}","{268435465,268435489}",,0,,,,,"{9,33}",,,,,,,,,,"{1137934,1137937,1137943,1137945,1137946}",,,"{579924,579925}","{2739702,2740182}",,,,,5c8816d1-7aa8-fdc6-53c6-caf967a5d299,,,,,,,,
93313,3D Lemmings Winterland,3d-lemmings-winterland,https://www.igdb.com/games/3d-lemmings-winterland,2018-03-16 14:49:20,2024-01-22 08:26:00,"3D Lemmings Winterland is a special mini-demo of Lemmings 3D, featuring special snowy wintry graphics. Apart from this, the gameplay is identical to that of Lemmings 3D. The game consists of 6 levels which are not featured in the original full game.",,,,,,,,,,,,,,,,"{10603,19222,25905,41349,87507,88511,88863,90788,90839,95776}",{268435465},,0,"{2,4}",{1},,,{9},,,,,1995-12-01 00:00:00,,{13},{381326},"{123807,123808}",{859465},,284365,{393574},"{151061,1919286}",,"{183703,183704}",,,b39ea200-5005-1334-4bb5-5adb893a786a,,,,,,,,{1118}
204578,3D Live Pool,3d-live-pool,https://www.igdb.com/games/3d-live-pool,2022-06-12 03:03:17,2022-12-14 10:52:41,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2003-12-31 00:00:00,,{6},{364901},,,,226827,"{289261,494036}",{2448025},,,,,255c0826-d1e9-94f0-797a-dca8d294c11a,,,,,,,,
